TIME,DISTANCE,DRIVE_MOTOR_PW
1250,0,3481
1260,70,3481
1270,62,3481
1280,82,3481
1290,121,3481
1300,72,3481
1310,107,3481
1320,70,3481
1330,107,3481
1340,86,3481
1350,71,3481
1360,97,3481
1370,119,3481
1380,64,3481
1390,88,3481
1400,63,3481
1410,85,3481
1420,66,3481
1430,88,3481
1440,87,3481
1450,78,3481
1460,60,3481
1470,76,3481
1480,89,3481
1490,80,3481
1500,65,3481
1510,63,3481
1520,115,3481
1530,83,3481
1540,86,3481
1550,59,3481
1560,61,3481
1570,121,3481
1580,83,3481
1590,67,3481
1600,70,3481
1610,93,3481
1620,75,3481
1630,69,3481
1640,74,3481
1650,66,3481
1660,62,3481
1670,54,3481
1680,47,3481
1690,42,3481
1700,34,3481
1710,24,3481
1720,14,3481
1730,12,2049
1740,12,2049
1750,12,2049
1760,12,2049
1770,12,2049
1780,12,2049
1790,13,2049
1800,14,2049
1810,16,2049
1820,19,2049
1830,23,2049
1840,28,2049
1850,35,2049
1860,41,2049
1870,48,2049
1880,49,2049
1890,55,2049
1900,60,2049
1910,63,2049
1920,71,2049
1930,60,2049
1940,58,2049
1950,73,2049
1960,68,2049
1970,66,2049
1980,70,2049
1990,69,2049
2000,59,2049
2010,84,2049
2020,74,2049
2030,63,2049
2040,63,2049
2050,67,2049
2060,73,2049
2070,67,2049
2080,66,2049
2090,72,2049
2100,58,2049
2110,67,2049
2120,79,2049
2130,73,2049
2140,65,2049
2150,58,2049
2160,65,2049
2170,58,2049
2180,55,2049
2190,59,2049
2200,56,2049
2210,60,2049
2220,73,2049
2230,66,2049
2240,75,2049
2250,63,2049
2260,62,2049
2270,63,2049
2280,72,2049
2290,63,2049
2300,63,2049
2310,71,2049
2320,64,2049
2330,56,2049
2340,56,2049
2350,70,2049
2360,56,2049
2370,58,2049
2380,60,2049
2390,62,2049
2400,63,2049
2410,67,2049
2420,68,2049
2430,67,2049
2440,68,2049
2450,62,2049
2460,66,2049
2470,59,2049
2480,72,2049
2490,62,2049
2500,72,2049
2510,66,2049
